Team1,Team2,Winner,RealOdds,LoungeOdds,Difference,Risk,BetSize,EVTeam,Win
Renegades,SK,Renegades,0.45,0.35,0.1,HIGH RISK,LOW BET,Renegades,WIN
mouz,TSM,TSM,0.45,0.48,-0.03,MEDIUM RISK,LOW BET,mouz,LOSS
SK,Renegades,SK,0.55,0.63,-0.08,MEDIUM RISK,LOW BET,Renegades,LOSS
mouz,EnVyUs,EnVyUs,0.4,0.3,0.1,MEDIUM RISK,LOW BET,mouz,LOSS
SK,TSM,TSM,0.4,0.19,0.21,MEDIUM RISK,AVG BET,SK,LOSS
EnVyUs,mouz,mouz,0.5,0.73,-0.23,HIGH RISK,LOW BET,mouz,WIN
SK,TSM,TSM,0.3,0.24,0.06,LOW RISK,AVG BET,SK,LOSS
SK,TSM,TSM,0.3,0.24,0.06,LOW RISK,AVG BET,SK,LOSS
mouz,EnVyUs,EnVyUs,0.45,0.32,0.13,HIGH RISK,LOW BET,mouz,LOSS
Renegades,TSM,TSM,0.25,0.14,0.11,LOW RISK,AVG BET,Renegades,LOSS
NiP,CLG,NiP,0.7,0.86,-0.16,LOW RISK,AVG BET,CLG,LOSS
NiP,CLG,NiP,0.7,0.86,-0.16,LOW RISK,AVG BET,CLG,LOSS
FSid3,EnVyUs,EnVyUs,0.7,0.12,0.58,LOW RISK,HIGH BET,FSid3,LOSS
Renegades,TSM,TSM,0.3,0.09,0.21,LOW RISK,AVG BET,Renegades,LOSS
Kinguin,LG,LG,0.6,0.76,-0.16,MEDIUM RISK,ICB BET,LG,WIN
Fnatic,eB,Fnatic,0.75,0.92,-0.17,LOW RISK,ICB BET,eB,LOSS
Imm,VP,VP,0.25,0.08,0.17,LOW RISK,HIGH BET,Imm,LOSS
Titan,NaVi,NaVi,0.4,0.29,0.11,MEDIUM RISK,LOW BET,Titan,LOSS
Cloud9,mouz,Cloud9,0.55,0.62,-0.07,HIGH RISK,ICB BET,mouz,LOSS
Cloud9,mouz,Cloud9,0.55,0.62,-0.07,HIGH RISK,ICB BET,mouz,LOSS
NiP,TSM,TSM,0.5,0.41,0.09,HIGH RISK,LOW BET,NiP,LOSS
NiP,TSM,TSM,0.5,0.41,0.09,HIGH RISK,LOW BET,NiP,LOSS
EnVyUs,LG,EnVyUs,0.65,0.83,-0.18,MEDIUM RISK,HIGH BET,LG,LOSS
Fnatic,NaVi,Fnatic,0.55,0.8,-0.25,HIGH RISK,ICB BET,NaVi,LOSS
Fnatic,NaVi,Fnatic,0.55,0.8,-0.25,HIGH RISK,ICB BET,NaVi,LOSS
VP,Cloud9,VP,0.5,0.62,-0.12,HIGH RISK,LOW BET,Cloud9,LOSS
Kinguin,Imm,Kinguin,0.7,0.87,-0.17,LOW RISK,AVG BET,Imm,LOSS
Cloud9,Kinguin,Kinguin,0.5,0.8,-0.3,HIGH RISK,HIGH BET,Kinguin,WIN
Cloud9,Kinguin,Kinguin,0.5,0.8,-0.3,HIGH RISK,HIGH BET,Kinguin,WIN
Cloud9,Kinguin,Kinguin,0.5,0.8,-0.3,HIGH RISK,HIGH BET,Kinguin,WIN
CLG,eB,CLG,0.6,0.76,-0.16,MEDIUM RISK,AVG BET,eB,LOSS
NaVi,CLG,NaVi,0.7,0.87,-0.17,MEDIUM RISK,AVG BET,CLG,LOSS
NiP,Renegades,NiP,0.7,0.72,-0.02,LOW RISK,HIGH BET,Renegades,LOSS
NiP,Renegades,NiP,0.7,0.72,-0.02,LOW RISK,HIGH BET,Renegades,LOSS
FSid3,mouz,FSid3,0.4,0.23,0.17,HIGH RISK,ICB BET,FSid3,WIN
LG,FSid3,LG,0.55,0.7,-0.15,HIGH RISK,LOW BET,FSid3,LOSS
EnVyUs,NaVi,EnVyUs,0.6,0.75,-0.15,HIGH RISK,LOW BET,NaVi,LOSS
VP,NiP,VP,0.5,0.56,-0.06,HIGH RISK,LOW BET,NiP,LOSS
TSM,Kinguin,TSM,0.7,0.85,-0.15,LOW RISK,AVG BET,Kinguin,LOSS
Fnatic,LG,Fnatic,0.75,0.91,-0.16,HIGH RISK,ICB BET,LG,LOSS
EnVyUs,TSM,EnVyUs,0.55,0.54,0.01,HIGH RISK,LOW BET,TSM,LOSS
VP,Fnatic,Fnatic,0.45,0.22,0.23,HIGH RISK,AVG BET,VP,LOSS
EnVyUs,Fnatic,Fnatic,0.45,0.45,0,HIGH RISK,AVG BET,EnVyUs,LOSS
TSM,Kinguin,TSM,0.7,0.76,-0.06,MEDIUM RISK,ICB BET,Kinguin,LOSS
TSM,Kinguin,TSM,0.7,0.76,-0.06,MEDIUM RISK,ICB BET,Kinguin,LOSS
NaVi,VP,NaVi,0.5,0.34,0.16,HIGH RISK,LOW BET,NaVi,WIN
CLG,Liquid,CLG,0.6,0.78,-0.18,MEDIUM RISK,AVG BET,Liquid,LOSS
CLG,Liquid,CLG,0.6,0.78,-0.18,MEDIUM RISK,AVG BET,Liquid,LOSS
CLG,Liquid,CLG,0.6,0.78,-0.18,MEDIUM RISK,AVG BET,Liquid,LOSS
mouz,D&G,mouz,0.65,0.78,-0.13,MEDIUM RISK,AVG BET,D&G,LOSS
mouz,D&G,mouz,0.65,0.78,-0.13,MEDIUM RISK,AVG BET,D&G,LOSS
SK,Kinguin,SK,0.3,0.31,-0.01,MEDIUM RISK,AVG BET,SK,WIN
Kinguin,VP,VP,0.3,0.2,0.1,MEDIUM RISK,AVG BET,Kinguin,LOSS
NaVi,TSM,NaVi,0.45,0.32,0.13,HIGH RISK,LOW BET,NaVi,WIN
VP,TSM,VP,0.5,0.52,-0.02,HIGH RISK,LOW BET,TSM,LOSS
VP,TSM,VP,0.5,0.52,-0.02,HIGH RISK,LOW BET,TSM,LOSS
NaVi,VP,VP,0.58,0.65,-0.07,MEDIUM RISK,AVG BET,VP,WIN
HR,E-Frag,E-Frag,0.55,0.56,-0.01,MEDIUM RISK,LOW BET,E-Frag,WIN
HR,E-Frag,E-Frag,0.55,0.56,-0.01,MEDIUM RISK,LOW BET,E-Frag,WIN
Titan,Dignitas,Dignitas,0.5,0.45,0.05,HIGH RISK,LOW BET,Titan,LOSS
Dignitas,CW,Dignitas,0.6,0.69,-0.09,MEDIUM RISK,AVG BET,CW,LOSS
Fnatic,mouz,Fnatic,0.7,0.88,-0.18,MEDIUM RISK,ICB BET,mouz,LOSS
LG,CLG,null,0.6,0.71,-0.11,HIGH RISK,LOW BET,CLG,TIE
mouz,Titan,mouz,0.5,0.68,-0.18,LOW RISK,LOW BET,Titan,LOSS
Fnatic,Dignitas,Fnatic,0.7,0.91,-0.21,MEDIUM RISK,ICB BET,Dignitas,LOSS
Fnatic,Dignitas,Fnatic,0.7,0.91,-0.21,MEDIUM RISK,ICB BET,Dignitas,LOSS
HR,Titan,Titan,0.45,0.37,0.08,HIGH RISK,LOW BET,HR,LOSS
CLG,coL,null,0.7,0.85,-0.15,MEDIUM RISK,AVG BET,coL,TIE
eB,Kinguin,null,0.4,0.21,0.19,LOW RISK,LOW BET,eB,TIE
D&G,Titan,null,0.45,0.18,0.27,HIGH RISK,ICB BET,D&G,TIE
D&G,Titan,null,0.45,0.18,0.27,HIGH RISK,ICB BET,D&G,TIE
HR,Reason,HR,0.7,0.81,-0.11,MEDIUM RISK,AVG BET,Reason,LOSS
HR,Reason,HR,0.7,0.81,-0.11,MEDIUM RISK,AVG BET,Reason,LOSS
Liquid,TStorm,null,0.65,0.82,-0.17,MEDIUM RISK,AVG BET,TStorm,TIE
Dignitas,mouz,mouz,0.5,0.42,0.08,HIGH RISK,LOW BET,Dignitas,LOSS
Fnatic,mouz,Fnatic,0.6,0.94,-0.34,MEDIUM RISK,ICB BET,mouz,LOSS
SK,HR,HR,0.5,0.35,0.15,HIGH RISK,LOW BET,SK,LOSS
E-Frag,Kinguin,Kinguin,0.45,0.48,-0.03,HIGH RISK,LOW BET,E-Frag,LOSS
Dignitas,Titan,Titan,0.5,0.32,0.18,HIGH RISK,LOW BET,Dignitas,LOSS
Dignitas,Titan,Titan,0.5,0.32,0.18,HIGH RISK,LOW BET,Dignitas,LOSS
TSM,NaVi,TSM,0.45,0.63,-0.18,HIGH RISK,LOW BET,NaVi,LOSS
VP,EnVyUs,EnVyUs,0.45,0.36,0.09,HIGH RISK,LOW BET,VP,LOSS
NME,coL,null,0.25,0.15,0.1,LOW RISK,AVG BET,NME,TIE
NME,coL,null,0.25,0.15,0.1,LOW RISK,AVG BET,NME,TIE
Dignitas,Kinguin,null,0.45,0.46,-0.01,HIGH RISK,LOW BET,Dignitas,TIE
NaVi,Dignitas,NaVi,0.6,0.79,-0.19,MEDIUM RISK,AVG BET,Dignitas,LOSS
NaVi,Dignitas,NaVi,0.6,0.79,-0.19,MEDIUM RISK,AVG BET,Dignitas,LOSS
TSM,mouz,TSM,0.55,0.73,-0.18,HIGH RISK,LOW BET,mouz,LOSS
Dignitas,Kinguin,Kinguin,0.5,0.3,0.2,HIGH RISK,LOW BET,Dignitas,LOSS
Titan,mouz,mouz,0.55,0.39,0.16,HIGH RISK,LOW BET,Titan,LOSS
Kinguin,FSid3,Kinguin,0.55,0.73,-0.18,HIGH RISK,LOW BET,FSid3,LOSS
NaVi,HR,HR,0.7,0.88,-0.18,HIGH RISK,ICB BET,HR,WIN
NaVi,TSM,TSM,0.5,0.27,0.23,HIGH RISK,LOW BET,NaVi,LOSS
mouz,Kinguin,Kinguin,0.5,0.4,0.1,HIGH RISK,LOW BET,mouz,LOSS
mouz,Kinguin,Kinguin,0.5,0.4,0.1,HIGH RISK,LOW BET,mouz,LOSS
mouz,Kinguin,Kinguin,0.5,0.4,0.1,HIGH RISK,LOW BET,mouz,LOSS
NaVi,Kinguin,Kinguin,0.6,0.58,0.02,MEDIUM RISK,AVG BET,Kinguin,WIN
NaVi,Kinguin,Kinguin,0.6,0.58,0.02,MEDIUM RISK,AVG BET,Kinguin,WIN
TSM,Kinguin,TSM,0.65,0.84,-0.19,MEDIUM RISK,AVG BET,Kinguin,LOSS
Fnatic,TSM,Fnatic,0.6,0.75,-0.15,HIGH RISK,AVG BET,TSM,LOSS
CLG,NME,CLG,0.7,0.92,-0.22,MEDIUM RISK,ICB BET,NME,LOSS
Kinguin,E-Frag,Kinguin,0.6,0.77,-0.17,MEDIUM RISK,ICB BET,E-Frag,LOSS
Kinguin,E-Frag,Kinguin,0.6,0.77,-0.17,MEDIUM RISK,ICB BET,E-Frag,LOSS
mouz,Titan,Titan,0.45,0.64,-0.19,HIGH RISK,LOW BET,Titan,WIN
LG,CLG,CLG,0.55,0.67,-0.12,HIGH RISK,LOW BET,CLG,WIN
Method,NME,Method,0.56,0.8,-0.24,HIGH RISK,ICB BET,NME,LOSS
Method,NME,Method,0.56,0.8,-0.24,HIGH RISK,ICB BET,NME,LOSS
SK,HR,HR,0.45,0.28,0.17,HIGH RISK,LOW BET,SK,LOSS
SK,HR,HR,0.45,0.28,0.17,HIGH RISK,LOW BET,SK,LOSS
CLG,LG,CLG,0.6,0.78,-0.18,MEDIUM RISK,AVG BET,LG,LOSS
SK,eB,SK,0.5,0.65,-0.15,MEDIUM RISK,LOW BET,eB,LOSS
D&G,FSid3,null,0.4,0.22,0.18,MEDIUM RISK,ICB BET,D&G,TIE
Kinguin,NaVi,Kinguin,0.42,0.4,0.02,HIGH RISK,LOW BET,Kinguin,WIN
Titan,VP,Titan,0.4,0.25,0.15,HIGH RISK,ICB BET,Titan,WIN
Titan,VP,Titan,0.4,0.25,0.15,HIGH RISK,ICB BET,Titan,WIN
SK,FSid3,FSid3,0.4,0.32,0.08,MEDIUM RISK,AVG BET,SK,LOSS
SK,FSid3,FSid3,0.4,0.32,0.08,MEDIUM RISK,AVG BET,SK,LOSS
HR,D&G,null,0.6,0.82,-0.22,MEDIUM RISK,AVG BET,D&G,TIE
LG,Method,LG,0.7,0.9,-0.2,MEDIUM RISK,AVG BET,Method,LOSS
LG,Method,LG,0.7,0.9,-0.2,MEDIUM RISK,AVG BET,Method,LOSS
NaVi,mouz,NaVi,0.6,0.69,-0.09,MEDIUM RISK,LOW BET,mouz,LOSS
VP,E-Frag,VP,0.65,0.78,-0.13,LOW RISK,LOW BET,E-Frag,LOSS
Titan,Kinguin,Kinguin,0.55,0.35,0.2,HIGH RISK,LOW BET,Titan,LOSS
CLG,Liquid,CLG,0.55,0.59,-0.04,HIGH RISK,LOW BET,Liquid,LOSS
VP,NaVi,null,0.5,0.66,-0.16,HIGH RISK,LOW BET,NaVi,TIE
Dignitas,HR,null,0.55,0.54,0.01,HIGH RISK,LOW BET,HR,TIE
Kinguin,NaVi,Kinguin,0.55,0.66,-0.11,HIGH RISK,LOW BET,NaVi,LOSS
Method,Liquid,Liquid,0.28,0.09,0.19,LOW RISK,HIGH BET,Method,LOSS
LG,CLG,LG,0.42,0.37,0.05,HIGH RISK,LOW BET,LG,WIN
EnVyUs,Cloud9,EnVyUs,0.55,0.76,-0.21,HIGH RISK,ICB BET,Cloud9,LOSS
VP,NiP,VP,0.55,0.63,-0.08,HIGH RISK,LOW BET,NiP,LOSS
Fnatic,Titan,Fnatic,0.65,0.88,-0.23,MEDIUM RISK,ICB BET,Titan,LOSS
TSM,NaVi,TSM,0.55,0.76,-0.21,HIGH RISK,LOW BET,NaVi,LOSS
Penta,FSid3,FSid3,0.4,0.2,0.2,MEDIUM RISK,AVG BET,Penta,LOSS
Dignitas,Penta,Dignitas,0.65,0.9,-0.25,MEDIUM RISK,AVG BET,Penta,LOSS
SK,eB,SK,0.55,0.77,-0.22,HIGH RISK,ICB BET,eB,LOSS
SK,eB,SK,0.55,0.77,-0.22,HIGH RISK,ICB BET,eB,LOSS
SK,eB,SK,0.55,0.77,-0.22,HIGH RISK,ICB BET,eB,LOSS
SK,eB,SK,0.55,0.77,-0.22,HIGH RISK,LOW BET,eB,LOSS
coL,Method,coL,0.6,0.62,-0.02,MEDIUM RISK,AVG BET,Method,LOSS
EnVyUs,VP,VP,0.55,0.71,-0.16,HIGH RISK,LOW BET,VP,WIN
Cloud9,NiP,NiP,0.5,0.59,-0.09,HIGH RISK,LOW BET,NiP,WIN
Liquid,CLG,Liquid,0.45,0.24,0.21,HIGH RISK,AVG BET,Liquid,WIN
Fnatic,TSM,TSM,0.6,0.71,-0.11,HIGH RISK,LOW BET,TSM,WIN
Fnatic,TSM,TSM,0.6,0.71,-0.11,HIGH RISK,LOW BET,TSM,WIN
Titan,NaVi,Titan,0.5,0.37,0.13,HIGH RISK,LOW BET,Titan,WIN
EnVyUs,NiP,NiP,0.6,0.8,-0.2,HIGH RISK,LOW BET,NiP,WIN
Fnatic,Titan,Fnatic,0.7,0.89,-0.19,MEDIUM RISK,ICB BET,Titan,LOSS
Fnatic,Titan,Fnatic,0.7,0.89,-0.19,MEDIUM RISK,ICB BET,Titan,LOSS
TSM,NiP,TSM,0.5,0.69,-0.19,HIGH RISK,LOW BET,NiP,LOSS
VP,Fnatic,VP,0.45,0.31,0.14,HIGH RISK,LOW BET,VP,WIN
LG,Liquid,Liquid,0.55,0.75,-0.2,HIGH RISK,LOW BET,Liquid,WIN
Mythic,Method,Mythic,0.55,0.61,-0.06,MEDIUM RISK,AVG BET,Method,LOSS
LG,Mythic,LG,0.6,0.73,-0.13,MEDIUM RISK,HIGH BET,Mythic,LOSS
TSM,VP,VP,0.45,0.39,0.06,HIGH RISK,LOW BET,TSM,LOSS
CLG,coL,CLG,0.6,0.78,-0.18,MEDIUM RISK,AVG BET,coL,LOSS
Conquest,Orgless,Conquest,0.7,0.76,-0.06,MEDIUM RISK,AVG BET,Orgless,LOSS
Conquest,Orgless,Conquest,0.7,0.76,-0.06,MEDIUM RISK,AVG BET,Orgless,LOSS
Liquid,CLG,Liquid,0.5,0.47,0.03,HIGH RISK,LOW BET,Liquid,WIN
Conquest,CLG,Conquest,0.4,0.32,0.08,MEDIUM RISK,AVG BET,Conquest,WIN
Conquest,CLG,Conquest,0.4,0.32,0.08,MEDIUM RISK,AVG BET,Conquest,WIN
LG,Liquid,Liquid,0.45,0.33,0.12,HIGH RISK,LOW BET,LG,LOSS
Dignitas,Reason,Dignitas,0.6,0.89,-0.29,MEDIUM RISK,AVG BET,Reason,LOSS
E-Frag,D&G,null,0.55,0.72,-0.17,MEDIUM RISK,LOW BET,D&G,TIE
E-Frag,D&G,null,0.55,0.72,-0.17,MEDIUM RISK,LOW BET,D&G,TIE
Penta,mouz,null,0.3,0.09,0.21,MEDIUM RISK,AVG BET,Penta,TIE
Penta,mouz,null,0.3,0.09,0.21,MEDIUM RISK,AVG BET,Penta,TIE
Ukraine,France,France,0.5,0.29,0.21,HIGH RISK,LOW BET,Ukraine,LOSS
Ukraine,France,France,0.5,0.29,0.21,HIGH RISK,LOW BET,Ukraine,LOSS
Ukraine,France,France,0.5,0.29,0.21,HIGH RISK,LOW BET,Ukraine,LOSS
coL,Mythic,Mythic,0.5,0.39,0.11,HIGH RISK,LOW BET,coL,LOSS
Conquest,NME,Conquest,0.6,0.87,-0.27,MEDIUM RISK,AVG BET,NME,LOSS
Fnatic,Titan,Fnatic,0.6,0.8,-0.2,MEDIUM RISK,ICB BET,Titan,LOSS
Titan,FSid3,Titan,0.58,0.76,-0.18,MEDIUM RISK,AVG BET,FSid3,LOSS
Orgless,LG,null,0.25,0.09,0.16,LOW RISK,HIGH BET,Orgless,TIE
EnVyUs,TSM,EnVyUs,0.45,0.45,0,HIGH RISK,LOW BET,EnVyUs,WIN
HR,G2,G2,0.45,0.3,0.15,HIGH RISK,LOW BET,HR,LOSS
HR,TSM,TSM,0.3,0.18,0.12,MEDIUM RISK,AVG BET,HR,LOSS
NiP,EnVyUs,NiP,0.5,0.44,0.06,HIGH RISK,LOW BET,NiP,WIN
SK,NaVi,NaVi,0.25,0.29,-0.04,LOW RISK,AVG BET,SK,LOSS
mouz,NaVi,NaVi,0.45,0.33,0.12,HIGH RISK,LOW BET,mouz,LOSS
mouz,NaVi,NaVi,0.45,0.33,0.12,HIGH RISK,LOW BET,mouz,LOSS
mouz,Fnatic,Fnatic,0.4,0.13,0.27,MEDIUM RISK,AVG BET,mouz,LOSS
Dignitas,Reason,Dignitas,0.65,0.91,-0.26,LOW RISK,HIGH BET,Reason,LOSS
Dignitas,Reason,Dignitas,0.65,0.91,-0.26,LOW RISK,HIGH BET,Reason,LOSS
Poland,Denmark,Denmark,0.4,0.32,0.08,HIGH RISK,LOW BET,Poland,LOSS
Titan,EnVyUs,EnVyUs,0.4,0.34,0.06,HIGH RISK,LOW BET,Titan,LOSS
SK,TSM,TSM,0.25,0.12,0.13,LOW RISK,HIGH BET,SK,LOSS
G2,Fnatic,Fnatic,0.4,0.2,0.2,HIGH RISK,LOW BET,G2,LOSS
E-Frag,FSid3,null,0.5,0.69,-0.19,HIGH RISK,LOW BET,FSid3,TIE
NiP,SK,NiP,0.7,0.88,-0.18,LOW RISK,AVG BET,SK,LOSS
Fnatic,TSM,Fnatic,0.5,0.62,-0.12,HIGH RISK,LOW BET,TSM,LOSS
Fnatic,TSM,Fnatic,0.5,0.62,-0.12,HIGH RISK,LOW BET,TSM,LOSS
HR,mouz,mouz,0.45,0.33,0.12,HIGH RISK,LOW BET,HR,LOSS
Titan,TSM,TSM,0.4,0.25,0.15,MEDIUM RISK,ICB BET,Titan,LOSS
SK,mouz,mouz,0.35,0.25,0.1,LOW RISK,AVG BET,SK,LOSS
Orgless,NME,NME,0.45,0.62,-0.17,HIGH RISK,LOW BET,NME,WIN
CLG,Conquest,CLG,0.55,0.61,-0.06,HIGH RISK,LOW BET,Conquest,LOSS
LG,Method,LG,0.7,0.91,-0.21,MEDIUM RISK,HIGH BET,Method,LOSS
NiP,Fnatic,NiP,0.45,0.35,0.1,HIGH RISK,LOW BET,NiP,WIN
Fnatic,HR,Fnatic,0.72,0.87,-0.15,LOW RISK,HIGH BET,HR,LOSS
Titan,EnVyUs,EnVyUs,0.4,0.23,0.17,HIGH RISK,ICB BET,Titan,LOSS
Fnatic,TSM,Fnatic,0.55,0.43,0.12,HIGH RISK,LOW BET,Fnatic,WIN
ES,EnVyUs,EnVyUs,0.25,0.07,0.18,LOW RISK,HIGH BET,ES,LOSS
ES,EnVyUs,EnVyUs,0.25,0.07,0.18,LOW RISK,HIGH BET,ES,LOSS
ES,EnVyUs,EnVyUs,0.25,0.07,0.18,LOW RISK,HIGH BET,ES,LOSS
Dignitas,Renegades,Dignitas,0.55,0.59,-0.04,HIGH RISK,LOW BET,Renegades,LOSS
TSM,CW,TSM,0.6,0.87,-0.27,MEDIUM RISK,ICB BET,CW,LOSS
G2,SK,G2,0.6,0.8,-0.2,MEDIUM RISK,AVG BET,SK,LOSS
EnVyUs,Dignitas,EnVyUs,0.6,0.85,-0.25,MEDIUM RISK,AVG BET,Dignitas,LOSS
EnVyUs,Dignitas,EnVyUs,0.6,0.85,-0.25,MEDIUM RISK,AVG BET,Dignitas,LOSS
ES,Renegades,ES,0.3,0.11,0.19,LOW RISK,AVG BET,ES,WIN
Dignitas,ES,Dignitas,0.7,0.86,-0.16,MEDIUM RISK,AVG BET,ES,LOSS
TSM,G2,TSM,0.6,0.74,-0.14,HIGH RISK,ICB BET,G2,LOSS
CW,SK,CW,0.5,0.38,0.12,HIGH RISK,LOW BET,CW,WIN
G2,CW,CW,0.6,0.8,-0.2,MEDIUM RISK,AVG BET,CW,WIN
Dignitas,TSM,TSM,0.35,0.09,0.26,LOW RISK,HIGH BET,Dignitas,LOSS
Coast,coL,coL,0.35,0.24,0.11,MEDIUM RISK,AVG BET,Coast,LOSS
EnVyUs,CW,EnVyUs,0.65,0.93,-0.28,LOW RISK,HIGH BET,CW,LOSS
TSM,EnVyUs,EnVyUs,0.5,0.42,0.08,HIGH RISK,LOW BET,TSM,LOSS
TSM,EnVyUs,EnVyUs,0.5,0.42,0.08,HIGH RISK,LOW BET,TSM,LOSS
coL,Coast,coL,0.65,0.74,-0.09,MEDIUM RISK,AVG BET,Coast,LOSS
FSid3,CW,FSid3,0.5,0.58,-0.08,HIGH RISK,LOW BET,CW,LOSS
CLG,CSGL,CLG,0.55,0.7,-0.15,HIGH RISK,LOW BET,CSGL,LOSS
Cloud9,ROCCAT,Cloud9,0.65,0.93,-0.28,LOW RISK,HIGH BET,ROCCAT,LOSS
Dignitas,Imm,Dignitas,0.6,0.89,-0.29,MEDIUM RISK,ICB BET,Imm,LOSS
Dignitas,Imm,Dignitas,0.6,0.89,-0.29,MEDIUM RISK,ICB BET,Imm,LOSS
Dignitas,Imm,Dignitas,0.6,0.89,-0.29,MEDIUM RISK,ICB BET,Imm,LOSS
Dignitas,Imm,Dignitas,0.6,0.89,-0.29,MEDIUM RISK,ICB BET,Imm,LOSS
G2,Penta,null,0.6,0.89,-0.29,MEDIUM RISK,AVG BET,Penta,TIE
NaVi,Fnatic,Fnatic,0.4,0.2,0.2,MEDIUM RISK,ICB BET,NaVi,LOSS
NaVi,TSM,NaVi,0.45,0.28,0.17,HIGH RISK,LOW BET,NaVi,WIN
Fnatic,NiP,Fnatic,0.55,0.67,-0.12,HIGH RISK,LOW BET,NiP,LOSS
